accession_number	numObservableTrypticPeptides	proteinLength
Q13216	19	396
P62508-4	17	396
Q9BZS1-2	21	396
P36383	15	396
Q96N19-2	16	396
Q9NQS5	17	396
Q969S8-5	13	396
H0YKJ1	13	396
Q2VYF4-3	21	396
Q7L5Y9	21	396
F5H415	12	396
Q8N6R0-2	19	396
Q53F39	17	396
P82933	22	396
Q03426	15	396
Q96P71	18	396
Q9HDB5-3	15	396
Q9NTK5	20	396
A0A087X210	25	396
Q02962-4	14	396
Q6A1A2	18	396
B8ZZ31	21	396
D6RAE5	14	396
P58872-3	12	396
Q02161-5	10	396
Q9ULK6-2	9	396
Q8WWV3	20	396
Q9UL10	17	396
A0A087WW58	10	396
Q15019-2	19	396
E9PEH6	15	396
Q08ET2	21	396
P78381	14	396
Q1EHB4-2	9	396
Q8TAD8	17	396
E9PNL2	16	396
Q9Y5K1	22	396
O75177	5	396
Q8WU08	15	396
Q9H5Q4	24	396
Q92734-2	11	396
Q2T9K0-4	16	396
A0A087X199	20	396
A0A0G2JL27	20	396
Q9UJT1-5	21	396
Q9NUQ3-2	15	396
O75604-4	17	396
Q99986	18	396
Q86Y07-5	21	396
Q15007	19	396
G3V4F2	19	395
E9PQY3	19	395
Q5CZ79-2	18	395
E9PGI0	15	395
Q13510	21	395
O75129-6	23	395
E9PBF9	12	395
A0A1W2PQD2	22	395
Q6P387	21	395
Q53TS8-2	18	395
Q96KC9	19	395
A0A0D9SFQ2	10	395
Q14790-3	19	395
Q9BRT8	18	395
Q8IUF1	17	395
Q5JTY5	17	395
Q5RIA9	17	395
Q4V339	17	395
P24864-3	19	395
Q9Y259	18	395
Q9GZX3	15	395
Q9BSW2	16	395
O43889	15	395
Q8TEY5	13	395
Q8WV16-4	18	395
Q8NA75	11	395
Q02127	22	395
Q9Y4J8-10	21	395
A0A1W2PRF0	21	395
A0A0A0MSG2	23	395
Q06547	10	395
A0A087WZT7	16	395
P63092-4	18	395
O14775	15	395
Q7Z6J2	16	395
Q13888	18	395
Q6P1K8	18	395
B4E1C5	21	395
P41235-7	15	395
K7EJU9	16	395
Q13303-5	14	395
A8MUE1	17	395
A0A0G2JPA9	17	395
O60663-2	15	395
B4DVN3	19	395
K7EKT6	19	395
Q00266	18	395
P31153	17	395
D6RED3	23	395
Q92665	16	395
Q6VVB1	15	395
Q92643	19	395
K7EMD7	17	395
P00750-4	22	395
Q6PEW0	16	395
Q9Y5Y4	15	395
Q96QF0-3	12	395
Q9NWB1-5	10	395
P18577-6	13	395
J3KSV7	18	395
A0A087X1N8	21	395
Q9NR46	15	395
E5RJJ5	18	395
B4DLD3	1	395
Q9UNP4-3	20	395
A0A087WUN8	10	395
O75410-6	19	395
Q16650-2	22	395
Q587J7-2	21	395
Q53QW1	13	395
Q7Z6K1	14	395
Q9UDY6-2	22	395
Q9Y3Q8	20	395
Q9NWZ5-3	18	395
P15692-13	15	395
A0A0A0MSH5	15	395
Q8NFZ6	12	395
Q9H6D3	12	395
A0A0C4DFW3	13	395
P98182	17	395
O43670-3	2	395
Q569K4-2	17	395
Q9H6B1	17	395
Q3MIS6-2	22	395
A0A0B4J2A4	19	394
P61160	12	394
P40394-2	20	394
E9PC15	21	394
D3DNG8	15	394
Q6P6C2	15	394
Q9UHK6-5	17	394
Q7Z6G8-10	17	394
Q7Z6K5-2	20	394
P32121-5	16	394
Q86WS4-3	18	394
A0A087WZ15	18	394
A0A087X0J3	18	394
B0QXZ6	15	394
Q5SZL2-3	16	394
Q9HA82	17	394
A0A0J9YWK3	18	394
Q05D32-2	15	394
Q9UIA0	17	394
Q9UI17-2	21	394
Q13115	16	394
O75521	15	394
Q9NVF9-2	18	394
Q6X9E4-2	19	394
Q6UXV0	17	394
P63092	17	394
Q5T7V8	17	394
Q8TAX9-2	18	394
A0A0G2JL56	17	394
A0A0G2JPD3	19	394
Q8TCT9-4	14	394
Q86X24	21	394
Q86YT9	17	394
O14649	12	394
Q6UWM7-2	19	394
P43364-2	17	394
P21397-2	19	394
O14770-3	11	394
P12524-3	14	394
Q92597	15	394
Q9Y639-5	20	394
Q9UQ80	23	394
Q02962-3	13	394
Q9H814	19	394
Q5T9C9	19	394
Q10713-2	19	394
Q6S8J3-2	14	394
Q9NR22	20	394
Q7Z6L0-2	14	394
P43115-8	15	394
Q86UD0	21	394
A0A087WW40	16	394
Q9NQQ7-3	19	394
G5E975	19	394
Q8TE77-4	11	394
C9JUG3	11	394
Q7RTN6-3	18	394
A2RU30-3	21	394
Q9BSE2	19	394
O95922-4	17	394
Q6ZT12-3	14	394
Q16739	19	394
P98182-2	17	394
P98182-3	17	394
Q0D2J5	19	394
O15535	20	394
Q8IZP0-8	18	393
B6VEX4	18	393
Q6QNK2-3	13	393
J3QRD1	17	393
Q52LW3-2	18	393
A0A1B0GUH5	22	393
Q9Y4P1	16	393
Q9NY97-2	19	393
O60512	19	393
Q86SX3-2	22	393
A0A1B0GVB2	19	393
P49715-4	6	393
Q9BWS9	18	393
A0A0A0MSD3	20	393
A0A0D9SFJ1	19	393
O95727	17	393
Q9HCP0-2	20	393
G3V188	17	393
Q9HB55-6	13	393
I3NI32	21	393
Q9BVC3	18	393
B5MC74	20	393
Q6ZV65	18	393
Q53RD9-2	19	393
Q5SZC6	22	393
Q9BXW7-2	16	393
Q5T8I9	19	393
P32754	23	393
A0A0B4J1R4	23	393
P51553	14	393
Q00978	14	393
P26440-2	19	393
Q92806	17	393
Q9NYG8	13	393
O43526-6	20	393
O60870	20	393
Q9NQR1	18	393
Q4FZB7-2	16	393
Q6UX01-5	11	393
Q02750	16	393
F8VUG4	18	393
D8L7E9	9	393
C0H5X0	18	393
Q86VX9-2	21	393
A0A0A0MQX2	20	393
Q6IQ20	20	393
Q8NDH3-3	17	393
F5H0C4	17	393
A0A0A0MRH7	14	393
A0A140TA01	21	393
E9PQZ5	21	393
Q8TCW9	14	393
Q8WXF1-2	13	393
P43115-7	16	393
D6R9D6	21	393
Q96G75	21	393
Q01973-3	19	393
Q8WUS8	15	393
E9PC44	17	393
Q8NC51-3	18	393
D6W5L6	17	393
Q9HBY8-3	17	393
Q7L8J4	20	393
P78381-2	14	393
Q9C0K1-2	9	393
B4DGM3	16	393
Q9BQ16-8	17	393
P04637	14	393
Q8NBR0	15	393
Q9H3D4-6	15	393
A0A087WWT4	18	393
Q5W5X9-3	19	393
P0CB47	16	393
Q99536	15	393
Q9H1Z4-2	18	393
F6UYG0	18	393
Q8NBI6	19	393
P21549	18	392
F6TX30	21	392
F5GYQ1	17	392
Q9H6S1	20	392
O15382	17	392
P21953	16	392
O95972	18	392
F5H2Q3	23	392
A0A1B0GUK4	20	392
Q9Y2G2-3	13	392
P15529	10	392
Q86UP0-3	12	392
Q8N5B7	14	392
Q6ZMG9-2	14	392
M0QXN6	6	392
O43281-3	17	392
A0A1W2PQZ6	20	392
Q05925	12	392
Q8N0U4	20	392
Q9NYF3	14	392
Q99689	14	392
Q68DX3-3	15	392
P24046-3	17	392
P51570	16	392
P27352-2	13	392
P17174-2	22	392
Q53T59	16	392
Q9H0C8	20	392
E7ETP9	15	392
Q9UPM6-3	21	392
Q9NUN5-2	11	392
P58215-2	15	392
E9PKG2	16	392
H0YNV5	18	392
Q6ZQY2	20	392
Q9Y383	15	392
A0A087WZ58	18	392
Q9H3U5-4	10	392
E9PCS8	17	392
E9PBQ4	11	392
P35372-2	8	392
Q9BRP4	16	392
Q99487	21	392
Q9NWT1	17	392
Q96QZ0	15	392
Q8NBL1	21	392
Q9BY77-2	18	392
P04280	0	392
Q4JDL3-3	17	392
P15151-4	8	392
A0A0A0MSA9	8	392
Q8NHQ8-2	18	392
Q9NWB1-4	11	392
O75526	17	392
Q9UBZ9-3	21	392
Q9NQC3-5	15	392
O76054-4	15	392
P49903	13	392
Q96P15	20	392
F5GYW9	21	392
Q8TB61-2	17	392
Q9BVQ7-3	16	392
Q8N4H0	19	392
Q6IQ16	17	392
Q8TDW4-4	19	392
Q8NBY1	21	392
M0QXZ8	23	392
H3BQZ6	17	392
Q8TBP0-4	13	392
O95551-2	18	392
Q01085-2	16	392
O43897-2	20	392
Q5SNT2-2	16	392
C9K0I0	22	392
P06133-2	17	392
Q86UV5-4	19	392
Q5T427	18	392
A0A0D9SFC3	21	392
B7Z7D2	18	391
A0A087X0I3	23	391
O15204-2	19	391
A0A0D9SFB5	19	391
B4DY77	23	391
P30411	11	391
E9PK05	13	391
A0A0B4J1R8	17	391
Q00587	16	391
Q8IYX8-2	16	391
Q7Z7G1-3	25	391
Q96KP4-2	21	391
Q9NXG0-3	23	391
Q9Y2Z9-2	18	391
P68400	17	391
Q8NEV1	18	391
Q8NCG7-2	21	391
D6R9Q9	10	391
Q6ZN54-4	18	391
Q92785	20	391
Q9Y4J8-6	21	391
Q92838	12	391
Q96FG2-6	15	391
P09104-2	16	391
P13929-3	14	391
Q5VWP2	14	391
Q4VC44-4	16	391
P49356-2	10	391
Q6P4F1-4	19	391
P50440-2	18	391
P50440-3	18	391
Q5T4J0	15	391
P00367-2	18	391
Q8NBJ4-2	20	391
Q15011	12	391
Q13418-2	19	391
Q96N16-6	18	391
P48048	12	391
A0A1B0GVJ7	18	391
P01042-3	20	391
F8VZY9	19	391
O60711-2	15	391
Q9Y383-2	14	391
Q9NXL9-3	18	391
Q9BUK6-5	11	391
P55209	11	391
A6NI72	20	391
Q9ULP0-6	17	391
E9PR43	14	391
Q96P11-5	24	391
Q02548	12	391
K7EPJ2	17	391
O95397	20	391
Q16537-3	17	391
Q99638	16	391
F8VRS4	9	391
P38159	18	391
Q92546	18	391
Q8IXN7	16	391
Q9H871	22	391
Q9UIV8	15	391
Q07837-3	21	391
O00570	8	391
P30872	11	391
Q15561-3	10	391
A0A0A0MRF3	10	391
Q8N6V9	18	391
P19484-2	10	391
O76062-2	10	391
Q68CZ2-3	17	391
O14717	22	391
Q5W5X9-2	18	391
Q9H3M7	19	391
Q93097	17	391
B7Z836	15	390
Q15109-7	10	390
Q92685-2	14	390
Q5U4P2	14	390
Q6NZI2	13	390
Q8N0S6-2	16	390
Q9C0F1	15	390
Q15782	18	390
Q13286-2	10	390
B7Z1Y6	15	390
Q6UX04-2	15	390
E7ERQ6	9	390
Q86SG3-2	9	390
F5GZK9	15	390
O00472-2	19	390
Q96AP7	16	390
Q9UI08-3	18	390
O60667	17	390
Q9NXC2	17	390
P55259-2	18	390
Q16836-2	17	390
E9PF18	17	390
Q15011-2	12	390
Q9BTY7	21	390
Q9BUJ2-5	9	390
Q9H3N8	15	390
Q9Y662	19	390
P28222	13	390
Q14626-2	14	390
Q8NFR9-4	20	390
Q12905	19	390
B7Z8E5	20	390
Q14654	12	390
K7EQQ3	14	390
Q9Y468-3	17	390
Q969G2	14	390
J3QQQ0	17	390
A0A087WWC0	10	390
Q8IVS2	17	390
O00470	16	390
Q6P0N0-2	17	390
O75900	14	390
P0CAP1-5	19	390
Q9UJ70-2	19	390
Q8IW45-2	19	390
P14598	20	390
E7ESZ7	21	390
Q96FI4	21	390
P28336	18	390
Q6W5P4-3	13	390
Q9H857-4	20	390
Q2L696	17	390
A0A087X028	18	390
P08559	19	390
F6VCX5	19	390
Q9P0Z9	18	390
Q8N7S5	16	390
P43115	14	390
Q09028-4	15	390
O43251	13	390
Q96E39	20	390
P29508	19	390
P48594	19	390
C9JT30	14	390
B3KP42	17	390
Q11203-2	18	390
Q9UNP4-2	20	390
E7EVI1	22	390
Q9BQS2-2	18	390
P01137	18	390
Q7Z2T5-2	20	390
Q99816	15	390
A0A087WY09	17	390
Q9NNX1	20	390
Q8NFA0-2	15	390
Q86Y07-4	20	390
Q9BRR0-2	22	390
P58317	18	390
P52742-2	21	390
Q96IQ9-2	10	390
Q7Z398-2	20	390
A8K8V0-2	20	390
A8MYB8	16	389
Q13686	18	389
K7ELM1	21	389
Q8N9B4	25	389
Q13508	18	389
Q13510-3	21	389
B8ZZU6	17	389
Q9HC52	19	389
H3BRY3	15	389
Q92838-3	12	389
A0A0A0MRX1	16	389
Q8NEK8	17	389
Q9UKT8-2	16	389
J3KNW4	22	389
A0A0J9YWU2	18	389
A6NMV7	14	389
A0A0A0MSB9	17	389
Q96HV7	15	389
P48048-3	12	389
Q7L273	19	389
Q14667-3	23	389
Q5JT82	9	389
E7ERR0	20	389
Q9NPC1	14	389
Q9Y383-3	14	389
P33993-2	14	389
Q9UQ07-5	18	389
Q9NZJ7	17	389
Q96DP5	23	389
Q96HR8-2	10	389
F8WE06	18	389
P35372-11	8	389
Q8WVF1	24	389
P30559	16	389
Q99447	21	389
P00558-2	20	389
Q13976-3	16	389
P62333	17	389
Q15008	22	389
P31350	22	389
H9KVB1	13	389
E5RJU6	14	389
Q9NP31	19	389
O43699-5	12	389
Q8IXJ6	19	389
A0A087WYM3	19	389
Q13336	10	389
K7EK24	7	389
B4E128	18	389
Q9NWM0-5	20	389
Q8N7X2	21	389
B7Z2U2	15	389
A0AVT1-3	18	389
Q7Z6J8	20	389
Q9UKP6	12	389
P15692-16	15	389
A0A0A0MSI7	15	389
O00744	19	389
J3KMY6	14	389
Q9BS34	25	389
Q3MJ62	22	389
Q8IZP0-10	18	388
D6RER0	16	388
A0A0A0MSE3	15	388
Q86XS5	16	388
P10275-2	14	388
P36575	14	388
A0A087WWQ5	14	388
O43286	16	388
Q9UIR0-2	20	388
Q6P387-2	20	388
Q8NFZ8	17	388
A0A0A0MRL7	18	388
P15812	14	388
A0A0C4DGH0	14	388
Q7KZN9-2	20	388
Q9UI42-2	19	388
P10632-2	20	388
Q9NUU7-2	20	388
Q96PD7	16	388
Q9NX36	19	388
J3KQY6	20	388
Q9Y282-3	13	388
Q6PEV8	9	388
P28472-4	16	388
A0A1W2PQV3	14	388
Q9HCN4-5	15	388
C9JL84-2	16	388
P31271	12	388
Q13639	11	388
Q13422-4	19	388
A0A0G2JMV4	18	388
Q9P2G3-2	20	388
Q6ZV70-2	18	388
Q6ZMV7	21	388
Q9NQ69-2	14	388
F8VRN8	19	388
Q8N9Z9	20	388
Q9NR56	11	388
O14770-8	11	388
Q5JXC2	20	388
P21757-3	22	388
Q9BW11-4	21	388
E9PN92	13	388
Q86YV6	16	388
Q86YV6-2	16	388
Q5TH30	16	388
F6U4U2	16	388
E9PQG0	18	388
Q99571	17	388
Q2NL67-3	18	388
P29803	18	388
P0DJD8	3	388
P0DJD7	3	388
P0DJD9	3	388
P20142	3	388
Q9H488	16	388
P85299	17	388
Q8WV60	19	388
P43115-2	15	388
A0A0A0MRP3	14	388
Q9H0K6-2	21	388
Q96S59-2	18	388
O76081	20	388
Q01973-2	15	388
Q8IX90-3	21	388
Q99726	14	388
E7EW39	14	388
Q9BT81	8	388
Q9BWW4	11	388
P31391	8	388
Q9BSA9-2	11	388
F5GYA3	15	388
F5H3S6	13	388
Q9BZV1-2	16	388
P11172-3	21	388
A0A0C4DGZ5	22	388
Q9NUE0	16	388
J3KT56	23	388
Q9BSG1-4	20	388
O96019-2	15	387
P98198-4	15	387
Q9NY43	11	387
O75936	18	387
Q7Z7H3	17	387
Q6ZN84-3	16	387
B4DZA8	14	387
P15529-10	10	387
Q2V6Q1	18	387
Q13231-2	19	387
E7ENS9	23	387
I3L3S9	19	387
Q13324-4	12	387
P49238-2	16	387
P49238-4	16	387
B5MCV2	14	387
P20711-4	15	387
Q9UJW3-2	17	387
Q06889	7	387
Q53HC9	16	387
A0A087WX78	10	387
A0A0C4DG41	19	387
A0A087WYN1	13	387
P0C7A2	13	387
P0CG43	25	387
Q9UKT5	17	387
Q9BT04-2	17	387
K7EJV8	15	387
O43603	11	387
Q8WTR4-4	13	387
Q9Y5P6-2	19	387
P00505-2	21	387
P55259-4	18	387
Q8N433	17	387
A4D1E9	19	387
P49019	15	387
Q86X24-2	21	387
P37059	17	387
P28223-2	18	387
Q13639-2	12	387
O43820-2	17	387
A0A087WZN1	19	387
Q5T1B5	21	387
P48059-3	20	387
E9PBF6	23	387
Q08431	23	387
P18615-3	17	387
Q13133-2	16	387
O75781	18	387
Q06710-2	15	387
Q15124-2	20	387
Q16816	19	387
O75688-2	20	387
Q9ULJ8-2	10	387
O60260-5	20	387
O60260-7	20	387
P43686-2	19	387
P17706-2	15	387
Q8NC51-4	17	387
P05121-2	20	387
Q16586	17	387
E9PR89	17	387
Q9H0F6	14	387
Q6S5L8-2	21	387
Q9P1W8	22	387
Q9NR83	10	387
B5MCR8	15	387
Q9UNH6	19	387
Q5JUK2-2	13	387
Q15532-2	3	387
A6NCR4	13	387
Q8N7C3	17	387
O95801	19	387
D6RGX2	19	387
Q86XK7	5	387
D6RIW8	18	387
Q96FK6	17	387
A0A087X063	20	387
A0A1W2PRN0	18	386
P15309	15	386
P40394	19	386
Q86V24	12	386
Q15109-10	8	386
P48728-4	15	386
P58335-2	18	386
Q96AK3	14	386
A0A1B0GTZ5	23	386
P54687	13	386
Q86Z20-2	23	386
Q9BSQ5-4	21	386
Q8NCG5	20	386
A0A087WSY5	16	386
Q9NWM3	12	386
C9JJG6	13	386
A0A0A0MQT4	19	386
Q6E0U4-3	7	386
Q9UJW3	17	386
Q92838-9	12	386
A0A1W2PNY5	20	386
A0A087WU02	19	386
Q9NVF9	18	386
Q9UI08-4	19	386
O95864-3	15	386
Q01543-2	19	386
Q96MZ0-4	14	386
Q6NVY1	19	386
F5H6A5	23	386
E5RGZ2	15	386
Q9UJU2-6	14	386
F1T0D7	9	386
O60711	15	386
A0A1W2PQ48	20	386
P53582	19	386
O43193-2	14	386
Q99733-2	15	386
Q7Z6G3	19	386
Q9NRN5-2	20	386
A0A1W2PQM7	10	386
O76083-7	18	386
Q86UT5-4	20	386
B4DFN3	14	386
Q9Y570	14	386
O60237-2	16	386
Q86TP1-2	18	386
P43119	15	386
K7EQG9	15	386
K7ER08	9	386
F6Y5H0	9	386
B7ZKW8	15	386
Q9Y3P4	6	386
A0A1B0GVV3	19	386
Q9ULI2	15	386
Q7L4I2-2	9	386
Q9Y265-2	19	386
Q9Y371-2	16	386
Q7Z2H8-3	13	386
Q7Z3Q1-3	6	386
Q8N7X2-2	21	386
O00445	20	386
Q14188-5	12	386
P31483	14	386
Q9UBN6	16	386
Q9UJT2-2	22	386
Q86VN1	22	386
Q96PM9	18	386
Q96SZ4-2	18	386
O75086	20	386
A0A286YF58	7	385
B7Z9I1	17	385
O75689-2	20	385
Q02040-2	16	385
P48448	17	385
A0A0D9SF70	20	385
Q8IUR7-6	19	385
Q6ZMB0-3	18	385
P15291-2	14	385
P54687-4	13	385
P35613	15	385
Q9H0C5-2	16	385
A0A0A0MSF2	17	385
Q8N8R5	20	385
Q8IU85	17	385
A5YM72-2	14	385
Q6ZMN8-2	20	385
P28906	9	385
P15529-5	11	385
Q5TFM2	21	385
Q8N365	15	385
E7EU96	19	385
Q01459	16	385
Q8IU60-2	15	385
B1APY8	18	385
X6R4N5	19	385
Q96RI0	11	385
A0A1W2PPN5	15	385
A0A1W2PPS4	16	385
Q6ZNW5	17	385
Q3B7J2	14	385
P00739-2	20	385
O43837	19	385
Q9BX40	15	385
Q9BX40-2	15	385
D6RGH6	14	385
A8MW99	16	385
A0A1W2PPN1	17	385
Q9NZB8-5	21	385
Q9NZB8-6	20	385
Q49AM1	17	385
Q6P444	18	385
E9PIW4	13	385
O95803-2	17	385
Q9Y466	15	385
Q9NXX6	19	385
Q8WX93-7	23	385
Q9BRX2	18	385
G5E9Z4	24	385
Q8N490	16	385
F8W0Q9	16	385
Q9NR22-2	22	385
Q14558-2	19	385
Q9UI38	19	385
Q96QS6	17	385
Q8N9G1	11	385
P14151-2	10	385
Q96GL6	13	385
G3V1R7	19	385
Q8TED4-3	11	385
Q12824	19	385
Q6ZMD2-2	12	385
Q9BQ16-4	17	385
Q8TCT6	12	385
Q9BWG4	12	385
O75333	16	385
Q14188-4	12	385
F8W8I6	14	385
J3KR25	20	385
Q96F44-2	20	385
Q9H3H1-5	20	385
Q6RFH5	18	385
P56704-2	18	385
A0A1W2PQL4	19	384
Q9Y312	14	384
O00590	11	384
Q9NZN9	15	384
Q7Z591-4	14	384
Q7Z5J8-4	16	384
Q9HC16	23	384
Q6ZMB0	17	384
Q6UX41-6	17	384
Q96L12	19	384
Q86X55-2	17	384
Q7RTX7-2	14	384
P15529-3	11	384
P08174-3	18	384
Q00587-2	16	384
Q96Q40-4	18	384
A8MTB9	15	384
Q6ZMG9	13	384
O15519-15	18	384
B4DFF3	7	384
Q16690	12	384
Q99956	17	384
Q5T9C2	20	384
P0CG42	25	384
Q9H8Y8-2	8	384
Q9GZN0	7	384
P30550	11	384
P01880	18	384
Q86YT9-2	18	384
Q7Z418	14	384
Q7Z7F0-3	15	384
Q9UIL4	18	384
A0A286YEQ0	22	384
D6RJF9	22	384
A0A286YFI3	22	384
P45983-2	22	384
P45983-3	22	384
Q8NAN2-2	18	384
P51955-2	16	384
P25929	10	384
Q96CB9	12	384
Q15646-3	18	384
Q969N2-2	14	384
A0A0G2JQB7	15	384
A0A0C4DH93	15	384
D7UEQ8	15	384
Q96B13	16	384
Q2TBC4-3	17	384
Q8NFJ6	15	384
Q86YD1-2	21	384
M0QY25	21	384
O15315	13	384
Q5JS13-3	18	384
Q86XS8-2	16	384
O95977	18	384
D3DPN2	12	384
P04278-5	19	384
Q08AI6-2	9	384
P35713	14	384
Q96LK8	14	384
Q9NYA1	10	384
Q8TCT6-2	11	384
A0A087WXB8	21	384
P36402	15	384
P36402-5	16	384
Q86YJ6-3	18	384
Q7Z403-3	14	384
Q9NV66-2	19	384
Q3KQV9-2	16	384
Q9UBR1	18	384
Q8N9V3-2	13	384
Q9Y4P8-3	14	384
Q8N9L1-3	13	384
Q3SY52-3	19	384
Q9BSG1-3	20	384
C9JDE9	17	383
Q6NVV9-6	20	383
Q8TED9-4	15	383
Q6P6C2-3	15	383
Q9NXR7	18	383
P29466-2	19	383
Q5T5S1-4	20	383
Q5T5M9-3	13	383
Q9UNH5-3	19	383
Q8IU89	12	383
P36222	21	383
P80370	13	383
Q6UY11	15	383
Q08495-2	17	383
P26378-3	18	383
Q6R5J7	17	383
Q9Y282	13	383
C9JC47	25	383
Q9NTX9	19	383
A0A087X2C2	19	383
Q06547-2	10	383
E9PBY3	15	383
H0YNU9	17	383
O43837-2	18	383
E9PR26	16	383
Q5VYY2-2	14	383
B7ZLH2	14	383
Q9C0I9-3	17	383
Q9C0I9-4	18	383
H3BP11	5	383
P10636-6	17	383
Q29983	18	383
Q29980	16	383
X6R344	16	383
A0A0G2JH58	16	383
A0A140T9M6	15	383
Q7Z5M0	19	383
Q2M296	15	383
Q2M296-3	15	383
B4DT68	22	383
F5H4R6	11	383
Q9H841-2	9	383
Q9NP85	18	383
Q96PB7-5	14	383
Q5RGS4	16	383
O95084	17	383
Q9H4B6	17	383
Q658L1-2	24	383
Q8TB61-3	17	383
Q17RD7-4	15	383
P36402-7	15	383
A2RU30-2	20	383
F8W1R9	18	383
H0YKB1	16	383
Q9NY65-2	18	383
Q8N8Y1	13	383
Q9H6Y2	21	383
A0A0D9SEX5	12	383
Q8NC26-2	18	383
A0A087X2A5	14	383
B0AZN8	20	383
Q96N77-2	16	383
Q6DD87	14	383
I3L1I5	11	382
A0A0G2JK05	10	382
B7WP89	16	382
Q9UHK6	16	382
Q9UH17	19	382
P51689-2	16	382
P21283	23	382
Q9UBX8	16	382
H3BNR1	14	382
Q9BXY5-2	17	382
O14757-2	16	382
Q9UJU6-6	15	382
C4P092	16	382
Q8NFW5	10	382
F5H8B0	17	382
Q53RD9-3	17	382
H3BVB1	17	382
Q7L513-10	11	382
Q9UGM5	18	382
Q9BT04-3	17	382
P17302	19	382
Q14943	17	382
O43469	17	382
Q9BQ90	20	382
Q8IWV1-3	14	382
Q6UX15	15	382
A0A0G2JN36	13	382
A0A0G2JLX6	12	382
A0A0G2JMX0	12	382
A0A0G2JPW2	12	382
Q8TE12	14	382
A0A140T8Z4	10	382
Q5SQ64-2	10	382
Q13477	10	382
P45984-2	22	382
P45984-3	22	382
Q16644	15	382
Q9NR56-5	10	382
G3V4F0	15	382
Q2M296-2	15	382
Q2M296-4	15	382
Q15784	17	382
Q15233-2	16	382
P00973-4	15	382
D6RDV4	14	382
Q96DU9	23	382
D6RAX3	17	382
A6NC16	14	382
P35813	21	382
H0Y7S4	20	382
P51888	20	382
P13861-2	21	382
Q9NXS2	16	382
Q8TBN0	17	382
P13631-3	17	382
D6R927	17	382
A0A087X0F7	17	382
P21453	14	382
O15374-4	12	382
Q13884-2	17	382
H3BU86	21	382
O00445-2	19	382
Q9NVH6-5	16	382
A0A087WZU8	12	382
P0DKB5	21	382
A0A087WTJ8	17	382
Q9UK80-2	18	382
F5H7P5	20	382
Q9UJ78-1	16	382
A0A087WUD1	14	382
Q8N0Z2	21	381
Q9NPF8	18	381
Q8IWK6-4	18	381
Q8NEY4-2	21	381
Q8NFJ8	10	381
Q9BUA3	19	381
B1B154	18	381
P32239-3	15	381
P08174	18	381
P12277	17	381
P06732	16	381
D6REK3	16	381
O00622	25	381
Q8WXU2-2	16	381
Q16828	17	381
Q96FG2	16	381
C9JD05	18	381
Q03113	18	381
P38405	17	381
Q9UPC5	15	381
F5GZ43	15	381
Q58FF8	18	381
P42701-3	16	381
Q9P0J7	13	381
Q8NCW0-6	16	381
Q13601	14	381
Q86Y46-2	20	381
Q9BYZ2	20	381
P10636-4	17	381
O14770-7	11	381
Q7Z6M4	18	381
Q9UBC1	18	381
P49146	15	381
Q9BWX1	14	381
A4D2B8-3	21	381
Q6S5H4-3	15	381
A0A0G2JQ08	15	381
A0A087WXQ7	15	381
A0A087X1W7	15	381
P10644	16	381
P31321	15	381
P26022	17	381
O43251-2	12	381
A0A087WZZ4	7	381
O43567	10	381
P49908	16	381
P07988	16	381
Q9ULF5-2	10	381
P84022-2	14	381
Q8N8B7-2	18	381
E9PKP3	12	381
Q8WV44-4	17	381
Q9NQA5-2	16	381
A0A0J9YXI7	16	381
F5GYI3	12	381
A0A0C4DGB4	19	381
O00154	18	380
Q9NPF8-2	18	380
P08319	19	380
I3L3I9	16	380
C9JTQ0	15	380
P35414	14	380
O14791-3	14	380
E9PB39	15	380
Q9BXN1	18	380
Q9Y4P1-6	14	380
Q96HA4	14	380
Q96K31	21	380
Q6P4E1-2	17	380
Q96LY2	19	380
Q9NNX6-6	24	380
Q9NNX6-10	24	380
Q8N960-3	14	380
Q96G23	15	380
Q15782-6	18	380
I3L1T7	16	380
Q96NU0-3	20	380
Q96NX9-3	8	380
Q92782	20	380
P26378	18	380
Q9NW38-2	17	380
P39748	15	380
Q9UHY8-2	18	380
P01100	9	380
Q9BQS8-2	20	380
A0A1W2PSF4	17	380
Q9Y2T3-2	21	380
P63092-2	17	380
G3V582	19	380
Q9UNW8	15	380
A2RTY3-4	22	380
Q9Y251-4	15	380
Q13639-4	10	380
P51553-2	15	380
Q14627	16	380
P48740-3	17	380
Q96DV4	13	380
P00156	5	380
Q9UGC7	14	380
O43639	20	380
P18615	17	380
Q9Y3R4	17	380
B1AKN6	14	380
Q8WTW4	23	380
Q8NFH3	12	380
P41145	8	380
C9JEJ2	20	380
Q9Y2G5-2	16	380
O75688-4	19	380
Q5VWC4	13	380
F5H0M1	7	380
O43251-10	12	380
F5H6G4	19	380
O75995	15	380
A0A024QZX5	21	380
O75635	21	380
O43173	21	380
A0A087WZ06	22	380
E9PEL9	21	380
P36402-4	12	380
Q8IYR6	15	380
B2RXF0	11	380
Q6YI46	13	380
Q93038-10	15	380
A1A4Z5	16	380
Q6DKK2	20	380
Q96S82	12	380
P50552	15	380
P41221	16	380
Q9H171-3	14	380
Q9Y305-3	21	379
B4DWB8	17	379
E9PGG2	14	379
Q9UH62	20	379
Q6ZNE5-2	9	379
Q9NXR7-3	18	379
Q5VW32-2	14	379
